name;full_name;birth_date;age;height_cm;weight_kgs;positions;nationality;overall_rating;value_euro;wage_euro;preferred_foot;national_team;team_position;national_numb
K. Hoever;Ki-Jana Hoever;1/18/2002;23;182.88;67.1;RB,CB;Netherlands;61;500000;4000;Right;;;
C. Johnson;Connor Johnson;3/10/1998;26;187.96;78;CB;England;61;425000;7000;Right;;;
C. Randall;Connor Randall;10/21/1995;29;154.94;76.2;RB,RWB;England;61;325000;11000;Right;;;
B. Wilson;Brandon Wilson;1/28/1997;28;185.42;81.2;CM;Australia;61;375000;1000;Right;;;
N. Sutter;Nicola Sutter;5/8/1995;29;182.88;73;CB,CM,CDM;Switzerland;61;325000;2000;Right;;;
Y. Takahashi;__ __;4/11/1993;31;187.96;78;CB;Japan;61;290000;1000;Right;;;
Genaro;Genaro  Rodríguez Serrano;3/23/1998;26;182.88;71.2;CM,CB;Spain;61;400000;2000;Right;;;
Cheng Yuan;__;10/8/1993;31;182.88;73;ST;China PR;61;350000;3000;Right;;;
K. Wootton;Kyle Wootton;10/11/1996;28;187.96;78;ST;England;61;350000;2000;Right;;;
B. Gilmour;Billy Gilmour;6/11/2001;23;172.72;68;CM,CAM;Scotland;61;550000;7000;Right;;;
A. May;Adam May;12/6/1997;27;182.88;73;CM,CAM;England;61;425000;2000;Right;;;
M. Jadama;Modou Lamin Jadama;3/17/1994;30;185.42;79.8;CB;United States;61;290000;1000;Right;;;
Yoon Dong Min;___ ___;7/20/1988;36;175.26;72.1;ST,CM;Korea Republic;61;250000;2000;Right;;;
J. Borgmann;Jannik Borgmann;11/12/1997;27;195.58;83;CB,LB;Germany;61;300000;1000;Right;;;
R. Tulloch;Rayhaan Tulloch;1/20/2001;24;152.4;59.9;ST;England;61;500000;3000;Right;;;
M. Christensen;Magnus Christensen;8/20/1997;27;182.88;74.8;CM;Denmark;61;450000;2000;Right;;;
K. Sekiguchi;__ __;12/26/1985;39;170.18;66.2;LM,RM;Japan;61;200000;1000;Right;;;
Guo Hao;__;1/14/1993;32;172.72;67.1;CDM,CM;China PR;61;280000;2000;Right;;;
M. Majrashi;Mohammed Majrashi;5/20/1991;33;154.94;72.1;ST,LM,CAM;Saudi Arabia;61;270000;5000;Right;;;
J. Pepper;Jacob Pepper;5/8/1992;32;154.94;74.8;CB,CDM,RB;Australia;61;260000;1000;Right;;;
J. Ndecky;Jean Jacques Idrissa Ndecky;1/10/1997;28;175.26;72.1;RB,RM;Senegal;61;375000;3000;Right;;;
T. Onozawa;__ __;6/2/1998;26;165.1;62.1;LM;Japan;61;375000;1000;Right;;;
S. Banza;Simon Banza;8/13/1996;28;187.96;77.1;ST;France;61;400000;2000;Right;;;
Jo Soo Chul;___ ___;10/30/1990;34;154.94;68.9;CM,CDM;Korea Republic;61;260000;1000;Right;;;
Kim Bo Seop;___ ___;1/11/1998;27;182.88;73;ST,LW;Korea Republic;61;450000;1000;Right;;;
H. Borja;Hadier Borja Aguilar;4/5/1997;27;170.18;66.2;RB;Colombia;61;500000;1000;Right;;;
M. Maidana;Mauro Maidana;7/12/1990;34;154.94;78;LB;Argentina;61;210000;2000;Left;;;
F. Lapis;Florian Lapis;8/8/1993;31;182.88;78;LB;France;61;270000;1000;Left;;;
D. Rosales;Diego Rosales;4/4/1998;26;170.18;66.2;RB;Mexico;61;400000;2000;Right;;;
F. El Khoumisti;Fahd El Khoumisti;6/1/1993;31;154.94;74.8;ST;France;61;325000;1000;Right;;;
F. Sittsam;Florian Sittsam;12/14/1994;30;185.42;76.2;CDM,CM;Austria;61;290000;1000;Right;;;
S. Benega;Sebastián Benega;5/20/1999;25;175.26;73.9;ST,LM;Argentina;61;550000;2000;Right;;;
D. Sugioka;__ __;9/8/1998;26;182.88;74.8;LWB,LM,LB;Japan;61;375000;1000;Left;;;
M. Clark;Mitchell Clark;3/13/1999;25;172.72;68;RB,CB,LB;Wales;61;350000;1000;Right;;;
N. Gómez;Nahum Gómez Del Rosal;1/19/1998;27;167.64;64;RW,CAM;Mexico;61;400000;4000;Right;;;
M. Butcher;Matt Butcher;5/14/1997;27;187.96;83;CM,CDM,CB;England;61;450000;7000;Left;;;
A. Madrid;Álvaro Alfredo Alejandro Madrid Gaete;4/5/1995;29;175.26;73.9;CM,CDM,RB;Chile;61;375000;1000;Right;;;
A. Karadas;Azar Karadas;8/9/1981;43;187.96;88;ST,CB;Norway;61;90000;1000;Right;;;
A. Al Obud;Abdulrahman Al Obud;6/10/1995;29;175.26;69.9;ST,LM,RM;Saudi Arabia;61;375000;5000;Right;;;
A. Borkovic;Alexandar Borkovic;6/11/1999;25;182.88;73.9;CB;Austria;61;375000;1000;Left;;;
A. Purzycki;Adrian Purzycki;8/2/1997;27;152.4;69.9;CDM,CM;Poland;61;325000;1000;Right;;;
D. Orellana;Diego Felipe Andrés Orellana Medina;5/16/1993;31;162.56;64.9;CM,CDM,RB;Chile;61;300000;1000;Right;;;
D. Imrie;Dougie Imrie;8/3/1983;41;172.72;73.9;LM,RM,LWB,CM;Scotland;61;130000;1000;Left;;;
F. Escales;Florian Escales;2/3/1996;29;182.88;78;GK;France;61;280000;4000;Right;;;
S. Davies;Scott Davies;2/23/1987;38;182.88;69.9;GK;England;61;150000;2000;Right;;;
Ibañez;Roger Ibañez Da Silva;11/23/1998;26;185.42;79.8;CB;Brazil;61;500000;2000;Right;;;
S. Griffin;Shane Griffin;9/8/1994;30;152.4;73.9;LB;Republic of Ireland;61;280000;1000;Left;;;
D. Amankwaa;Danny Kwasi Amankwaa;1/30/1994;31;175.26;68;RM,LM;Denmark;61;325000;2000;Right;;;
A. Al Asmari;Ali Hassan Al Asmari;1/12/1997;28;185.42;73.9;CM,CAM,CDM;Saudi Arabia;61;425000;5000;Right;;;
M. Knoester;Mats Knoester;11/19/1998;26;190.5;83.9;CB,LB;Netherlands;61;425000;1000;Left;;;
C. Good;Curtis Good;3/23/1993;31;187.96;84.8;CB;Australia;61;260000;2000;Left;;;
F. Vélez;Franco Vélez;2/8/1997;28;187.96;84.8;GK;Argentina;61;350000;2000;Right;;;
M. Qvist;Mikkel Mena Qvist;4/22/1993;31;203.2;93.9;LM,LB,ST;Denmark;61;325000;2000;Left;;;
A. Oxborough;Aston Oxborough;5/9/1998;26;185.42;76.2;GK;England;61;450000;2000;Right;;;
V. Baume;Valentin Baume;1/25/1997;28;185.42;77.1;GK;Belgium;61;300000;1000;Right;;;
C. Horgan;Colm Horgan;7/2/1994;30;172.72;72.1;RB,CB;Republic of Ireland;61;290000;1000;Right;;;
S. Slocombe;Sam Slocombe;6/5/1988;36;182.88;74.8;GK;England;61;160000;2000;Right;;;
P. Klimala;Patryk Klimala;8/5/1998;26;182.88;76.2;ST;Poland;61;450000;1000;Right;;;
S. Harrison;Shayon Harrison;7/13/1997;27;182.88;68;ST,LM,RM;England;61;450000;10000;Left;;;
F. Al Johani;Fahad Ayed Al Johani;10/26/1991;33;175.26;67.1;RM,ST,CAM;Saudi Arabia;61;270000;4000;Right;;;
M. Stamnestrø;Magnus Stamnestrø;4/18/1992;32;152.4;68.9;CM,CAM;Norway;61;300000;1000;Right;;;
P. St_pi_ski;Patryk St_pi_ski;1/16/1995;30;152.4;62.1;LB;Poland;61;290000;1000;Right;;;
C. Klarer;Christoph Klarer;6/14/2000;24;190.5;73;CB;Austria;61;475000;3000;Right;;;
A. Bordin;Alessandro Bordin;8/1/1998;26;175.26;72.1;CM;Italy;61;425000;4000;Right;;;
R. Al Mousa;Rayan Al Mousa;7/24/1994;30;152.4;67.1;CM;Saudi Arabia;61;350000;3000;Right;;;
A. Revell;Alex Revell;7/7/1983;41;190.5;78;ST;England;61;130000;3000;Right;;;
E. Ham;Alessio Ezequiel Naim Ham;3/10/1994;30;175.26;67.1;CM,CDM;Argentina;61;350000;2000;Right;;;
T. Christensen;Tobias Christensen;5/11/2000;24;152.4;73;LW,CM,RW;Norway;61;525000;1000;Left;;;
A. Kova_evi_;Adnan Kova_evi_;9/9/1993;31;187.96;79.8;CB,CDM;Bosnia Herzegovina;61;290000;1000;Right;;;
Diego Ferraresso;Diego Gustavo Ferraresso Scheda;5/21/1992;32;170.18;64.9;RB,LB;Brazil;61;240000;1000;Right;;;
W. Aimson;Will Aimson;6/3/1994;30;182.88;69.9;CB;Wales;61;290000;2000;Right;;;
A. Whiteman;Alfie Whiteman;10/2/1998;26;190.5;76.2;GK;England;61;450000;3000;Right;;;
E. Bekiroglu;Efkan Bekiroglu;9/14/1995;29;185.42;83.9;CAM;Germany;61;325000;1000;Right;;;
J. Allen;Jordan Allen;4/25/1995;29;152.4;72.1;LW,CAM,CM,RB;United States;61;375000;1000;Right;;;
Iker Goujón;Iker Goujón Pozuelo;8/18/1999;25;172.72;67.1;LM,RM;Spain;61;450000;1000;Right;;;
T. Jacobsen;Thore Jacobsen;4/19/1997;27;182.88;76.2;LB,LM;Germany;61;325000;3000;Left;;;
J. Jesgarzewski;Janik Jesgarzewski;1/26/1994;31;154.94;74.8;RB,CAM;Germany;61;280000;1000;Right;;;
G. Simeone;Gianluca Simeone;7/23/1998;26;154.94;74.8;ST,CF;Argentina;61;550000;2000;Right;;;
K. Finnbogason;Kristján Flóki Finnbogason;1/12/1995;30;190.5;84.8;ST;Iceland;61;350000;1000;Right;;;
K. Yuruki;Koya Yuruki;7/3/1995;29;182.88;69.9;LM,LW,CF;Japan;61;350000;2000;Right;;;
E. Nouri;Emin Nouri;7/22/1985;39;154.94;74.8;RB;Azerbaijan;61;140000;1000;Right;;;
M. Robinson;Miles Robinson;3/14/1997;27;187.96;83.9;CB;United States;61;350000;1000;Right;;;
Adrià Arjona;Adrià Arjona Marín;2/28/1996;29;175.26;69.9;RM,CAM;Spain;61;350000;1000;Right;;;
M. Borquez;Matías Borquez;8/19/1998;26;172.72;66.2;GK;Chile;61;300000;1000;Right;;;
M. Cortesi;Matteo Cortesi;10/21/1997;27;154.94;73;ST;Italy;61;400000;1000;Right;;;
L. Compagnucci;Lucio Compagnucci;2/23/1996;29;175.26;73;CDM,CM;Argentina;61;325000;1000;Right;;;
F. Cambeses;Facundo Nicolás Cambeses;4/9/1997;27;185.42;78;GK;Argentina;61;450000;1000;Right;;;
S. Ohlsson;Sebastian Ohlsson;5/26/1993;31;154.94;77.1;RW,RWB;Sweden;61;325000;1000;Right;;;
Marcos Isla;Marcos Fernández Isla;7/24/1996;28;193.04;76.2;CB;Spain;61;350000;1000;Right;;;
T. De Bie;Thomas De Bie;1/29/1997;28;182.88;77.1;GK;Belgium;61;300000;1000;Right;;;
M. Willock;Matty Willock;8/20/1996;28;185.42;72.1;CM;England;61;375000;11000;Right;;;
J. Král;Jan Král;4/5/1999;25;193.04;79.8;CB;Czech Republic;61;375000;1000;Left;;;
K. Scheidhauer;Kevin Scheidhauer;2/13/1992;33;190.5;84.8;ST;Germany;61;280000;1000;Right;;;
G. Mygas;Georgios Mygas;4/7/1994;30;185.42;78;RB;Greece;61;270000;1000;Right;;;
J. Lotomba;Jordan Lotomba;9/29/1998;26;152.4;68.9;LB,RB;Switzerland;61;475000;2000;Right;;;
Y. Shimaya;__ __;1/20/1989;36;167.64;64.9;CF,RW;Japan;61;250000;1000;Right;;;
E. Amenyido;Etienne Amenyido;3/1/1998;27;154.94;74.8;ST,RW,LW;Germany;61;450000;1000;Right;;;
Kim Tae Ho;___ Tae Ho Kim;9/22/1989;35;182.88;77.1;RB;Korea Republic;61;200000;1000;Right;;;
D. Lippert;Dennis Lippert;2/20/1996;29;172.72;63;LB;Germany;61;325000;3000;Left;;;
T. Mokwa;Tomasz Mokwa;2/10/1993;32;154.94;77.1;RM,RB;Poland;61;300000;1000;Right;;;
C. Calix;Cristian Calix;9/9/1999;25;165.1;59.9;CAM,RM;Honduras;61;525000;2000;Right;;;
A. Barreal;Álvaro Barreal;7/16/2000;24;172.72;66.2;RW,LW;Argentina;61;500000;2000;Left;;;
Ma Xingyu;___;11/4/1989;35;154.94;77.1;CM,CDM;China PR;61;250000;3000;Right;;;
Zhang Cheng;__;6/28/1989;35;154.94;72.1;RB;China PR;61;190000;4000;Right;;;
D. Moreno;Diego Fernando Moreno Quintero;2/27/1996;29;154.94;74.8;CM,CDM;Colombia;61;350000;1000;Right;;;
S. Galloway;Scott Galloway;4/25/1995;29;175.26;72.1;RB,LB;Australia;61;270000;1000;Right;;;
Y. Lawal;Yusuf Lawal;3/23/1998;26;172.72;77.1;RM;Nigeria;61;400000;2000;Right;;;
M. Igonen;Matvei Igonen;10/2/1996;28;185.42;78;GK;Estonia;61;325000;1000;Right;;;
A. Heredia;Agustín Heredia;6/16/1997;27;187.96;83;CB;Argentina;61;500000;3000;Right;;;
E. Mensah;Evans Mensah;2/9/1998;27;165.1;62.1;RW,LW;Ghana;61;425000;1000;Left;;;
Pablo Ramón;Pablo Ramón Parra;6/30/2001;23;185.42;76.2;CB;Spain;61;450000;1000;Right;;;
M. Kaasa;Markus Kaasa;7/15/1997;27;175.26;59.9;CM;Norway;61;475000;1000;Right;;;
R. Dickie;Rob Dickie;3/3/1996;29;182.88;73.9;CB;England;61;325000;2000;Right;;;
L. Grimshaw;Liam Grimshaw;2/2/1995;30;154.94;83;CM,RWB;England;61;325000;1000;Right;;;
M. Egho;Marvin Egho;5/9/1994;30;187.96;74.8;ST;Austria;61;325000;2000;Left;;;
Robert Sanchez;Robert Lynch Sanchez;11/18/1997;27;198.12;84.8;GK;Spain;61;350000;4000;Right;;;
B. Purkiss;Benjamin  Purkiss;4/1/1984;40;185.42;69.9;RB,CB;England;61;70000;2000;Right;;;
A. Lajami;Ali Lajami;4/24/1996;28;152.4;74.8;CB,CDM,RB;Saudi Arabia;61;375000;4000;Right;;;
T. Mølgaard;Tobias Mølgaard;7/22/1996;28;182.88;73;RWB,RM;Denmark;61;325000;1000;Right;;;
A. Diallo;Amadou Diallo;6/21/1994;30;152.4;77.1;ST,LM;Guinea;61;350000;1000;Left;;;
E. Verstappen;Eric Verstappen;5/19/1994;30;195.58;88;GK;Netherlands;61;260000;1000;Right;;;
R. Alvarez;Ricardo Abraham Álvarez Casanova;2/10/1999;26;175.26;68.9;LM,LB;Chile;61;550000;1000;Left;;;
L. Gre__ák;Luká_ Gre__ák;1/23/1989;36;182.88;74.8;CDM;Slovakia;61;200000;1000;Right;;;
E. Omondi;Eric Johana Omondi;8/18/1994;30;185.42;74.8;RW;Kenya;61;325000;1000;Right;;;
H. Ayaro_lu;Hasan Ayaro_lu;3/22/1995;29;172.72;63;CAM,LM,RM;Turkey;61;400000;2000;Left;;;
J. Koffi;Jean-Christophe Koffi;1/5/1998;27;175.26;78.9;CAM,CM;Ivory Coast;61;425000;1000;Right;;;
J. Hornkamp;Jizz Hornkamp;3/7/1998;27;154.94;74.8;RB,ST;Netherlands;61;325000;1000;Right;;;
I. Rozas;Iván Marcelo Rozas Agüero;7/1/1998;26;152.4;78;RW,RM;Chile;61;550000;2000;Left;;;
B. Nugent;Ben Nugent;11/28/1993;31;195.58;83;CB;England;61;270000;2000;Left;;;
J. Dörfler;Johannes Dörfler;8/23/1996;28;185.42;79.8;RM;Germany;61;350000;1000;Right;;;
K. Woolery;Kaiyne Woolery;1/11/1995;30;154.94;78;ST,RM,RW;England;61;325000;3000;Right;;;
F. Valietti;Federico Valietti;1/25/1999;26;182.88;73;RB;Italy;61;425000;1000;Right;;;
K. Gutiérrez;Kevin Gutiérrez;6/3/1997;27;167.64;64.9;CM;Argentina;61;550000;2000;Right;;;
A. Babacan;Atalay Babacan;6/28/2000;24;175.26;69.9;CAM,CM;Turkey;61;525000;4000;Left;;;
A. Swolfs;Anthony Swolfs;11/25/1997;27;193.04;78;GK;Belgium;61;300000;2000;Right;;;
M. Moënza;Malkom Moënza;11/15/1993;31;154.94;74.8;LWB,LM,LB;Sweden;61;280000;1000;Left;;;
M. Ferreira;Matias Ferreira;1/1/1997;28;172.72;67.1;RB;France;61;350000;1000;Right;;;
Chen Hao;__;1/28/1993;32;185.42;78;CB,ST;China PR;61;270000;2000;Right;;;
V. Myhra;Viljar Myhra;7/21/1996;28;193.04;93.9;GK;Norway;61;350000;1000;Right;;;
S. Nimely;Sylvanus Nimely;9/4/1998;26;152.4;74.8;ST;Liberia;61;550000;1000;Right;;;
S. Doumbia;Souleyman Doumbia;9/24/1996;28;175.26;64;LB,LM;Ivory Coast;61;350000;3000;Left;;;
L. Mokhevishvili;Lado Mokhevishvili;6/27/1996;28;172.72;59.9;CDM;Georgia;61;425000;1000;Right;;;
C. Masterson;Conor Masterson;9/8/1998;26;187.96;72.1;CB;Republic of Ireland;61;375000;5000;Right;;;
G. Ray;George Ray;10/13/1993;31;193.04;71.2;CB;Wales;61;300000;3000;Right;;;
L. Hro__o;Luká_ Hro__o;4/19/1987;37;195.58;89.8;GK;Slovakia;61;150000;1000;Right;;;
J. Caletti;Joe Kato Caletti;9/14/1998;26;170.18;64.9;CDM,CM;Australia;61;375000;1000;Right;;;
M. Havekotte;Mike Havekotte;9/12/1995;29;187.96;79.8;GK;Netherlands;61;290000;1000;Right;;;
F. Sulmoni;Fulvio Sulmoni;1/4/1986;39;182.88;72.1;CB;Switzerland;61;140000;2000;Right;;;
Roger Riera;Roger Riera Canadell;2/17/1995;30;187.96;76.2;CB,RB;Spain;61;290000;4000;Right;;;
V. Wernersson;Victor Wernersson;7/6/1995;29;154.94;69.9;LWB,LM;Sweden;61;325000;1000;Left;;;
M. Kudus;Mohammed Kudus;8/2/2000;24;175.26;69.9;CF,CM,ST;Ghana;61;500000;2000;Left;;;
E. Herrera;Edwin Alberto Herrera Hernandez;9/2/1998;26;172.72;68;LB;Colombia;61;475000;1000;Right;;;
A. Pululu;Afimico Pululu;3/23/1999;25;175.26;83;ST;Angola;61;550000;3000;Right;;;
Park Dae Han;___ ___;4/19/1996;28;182.88;77.1;GK;Korea Republic;61;290000;1000;Right;;;
Zhong JinBao;___;11/25/1994;30;154.94;68.9;CM,LM;China PR;61;350000;2000;Right;;;
Leandro;Leandro Montagud Balaguer;2/28/1989;36;185.42;82.1;GK;Spain;61;200000;1000;Left;;;
R. Callachan;Ross Callachan;9/4/1993;31;154.94;76.2;CM,RM;Scotland;61;325000;1000;Right;;;
J. Shipley;Jordan Shipley;9/26/1997;27;182.88;73;LM;Republic of Ireland;61;400000;2000;Left;;;
A. Kenyon;Alex Kenyon;7/17/1992;32;182.88;76.2;CDM,CM,CB;England;61;260000;2000;Left;;;
P. Petrovi_;Petar Petrovi_;9/15/1995;29;152.4;69.9;LW,RW;Sweden;61;325000;1000;Right;;;
A. Pattison;Alex Pattison;9/6/1997;27;175.26;69.9;CM;England;61;375000;6000;Right;;;
Liu Yang;__;2/9/1991;34;187.96;78;CB;China PR;61;250000;2000;Right;;;
L. Agoume;Lucien Agoume;2/9/2002;23;185.42;74.8;CAM,CM;France;61;550000;1000;Right;;;
K. Yoshino;__ __;11/8/1994;30;182.88;74.8;CB,CDM;Japan;61;290000;2000;Right;;;
M. Rocca;Michele Rocca;2/6/1996;29;175.26;72.1;CM;Italy;61;375000;5000;Right;;;
I. Chair;Ilias Chair;10/30/1997;27;172.72;68;CAM,LW;Morocco;61;550000;1000;Right;;;
A. Al Khulaif;Ayman Al Khulaif;5/22/1997;27;165.1;59.9;RM,LM;Saudi Arabia;61;450000;5000;Right;;;
R. Wulle;Rick Wulle;6/4/1994;30;187.96;83.9;GK;Germany;61;260000;1000;Right;;;
Li Songyi;___;1/27/1993;32;187.96;81.2;RB;China PR;61;260000;3000;Right;;;
J. Romil;Jorris Romil;12/27/1994;30;185.42;74.8;ST;France;61;350000;1000;Right;;;
T. Smith;Ted Smith;1/18/1996;29;185.42;76.2;GK;England;61;250000;1000;Left;;;
E. Oyeleke;Emmanuel Oyeleke;12/24/1992;32;175.26;74.8;CM,CDM;England;61;300000;3000;Right;;;
J. Tuominen;Jasse Tuominen;11/12/1995;29;185.42;73.9;ST,RW;Finland;61;;;Right;;;
T. Hudson-Wihongi;Te Atawhai Hudson-Wihongi;3/27/1995;29;185.42;83;CDM,CM,CB;New Zealand;61;;;Right;;;
J. Cook;Jordan Cook;3/20/1990;34;175.26;79.8;CAM,CM,ST;England;61;250000;3000;Right;;;
D. Gyollai;Dániel Gyollai;4/7/1997;27;193.04;91.2;GK;Hungary;61;400000;3000;Right;;;
J. Partington;Joe Partington;4/1/1990;34;187.96;76.2;RB,CDM;Wales;61;200000;2000;Right;;;
S. Al Qeshtah;Saif Al Qeshtah;1/28/1993;32;182.88;74.8;CB;Saudi Arabia;61;260000;2000;Left;;;
A. Domínguez;Adolfo Domínguez;2/10/1991;34;182.88;73;CM;Mexico;61;260000;4000;Left;;;
A. Tozzo;Andrea Tozzo;8/30/1992;32;193.04;83.9;GK;Italy;61;220000;4000;Left;;;
Víctor Ruiz;Víctor Ruiz Abril;11/2/1993;31;172.72;68;RW;Spain;61;325000;3000;Right;;;
L. Kramer;Lars Kramer;7/11/1999;25;193.04;79.8;CB;Netherlands;61;475000;1000;Right;;;
G. Guerrieri;Guido Guerrieri;2/25/1996;29;182.88;78;GK;Italy;61;260000;4000;Right;;;
N. Salazar;Norbey Salazar Giraldo;11/10/1987;37;198.12;83.9;CDM;Colombia;61;190000;1000;Right;;;
L. Wilkinson;Luke Wilkinson;12/2/1991;33;187.96;73.9;CB;England;61;240000;2000;Right;;;
R. Harley;Ryan Harley;1/22/1985;40;175.26;69.9;LM,CM;England;61;150000;3000;Right;;;
N. Heidemann;Niklas Heidemann;1/6/1995;30;185.42;78;LB,LM,CB;Germany;61;280000;1000;Left;;;
A. Yamga;Arthur Kevin Yamga;9/7/1996;28;187.96;83;ST,RM;France;61;400000;2000;Right;;;
A. Ceesay;Assan Ceesay;3/17/1994;30;187.96;73.9;ST,RW;Gambia;61;350000;3000;Left;;;
Dome;Domènec Estorach Ruedas;1/1/1996;29;175.26;68.9;CM,CDM;Spain;61;325000;1000;Right;;;
N. Tiknizyan;Nair Tiknizyan;5/12/1999;25;154.94;74.8;LM,LB;Russia;61;475000;1000;Left;;;
D. Fitzpatrick;David Fitzpatrick;2/28/1990;35;152.4;73;LB;England;61;200000;2000;Left;;;
A. Hazazi;Ali Abdullah Hazazi;2/18/1994;31;182.88;63;CDM,CM,CAM;Saudi Arabia;61;290000;4000;Left;;;
Y. Al Musallam;Yahya Al Musallam;6/7/1987;37;182.88;83.9;CB;Saudi Arabia;61;170000;3000;Left;;;
Iván Martín;Iván Martín Núñez;2/14/1999;26;152.4;69.9;CAM,CM;Spain;61;475000;2000;Left;;;
Y. Tolosa;Yeison Tolosa;6/12/1999;25;170.18;68;CAM;Colombia;61;475000;1000;Right;;;
D. Lanius;Dominik Lanius;3/28/1997;27;195.58;84.8;CB;Germany;61;325000;1000;Right;;;
T. Eyoma;Timothy Eyoma;1/29/2000;25;182.88;76.2;CB,RB;England;61;475000;5000;Right;;;
M. Feigenspan;Mike Feigenspan;8/5/1995;29;154.94;74.8;LW;Germany;61;375000;1000;Right;;;
G. Coke;Giles Coke;6/3/1986;38;154.94;78.9;CM;England;61;190000;3000;Right;;;
Y. Otayn;Yahya Otayn;9/3/1990;34;182.88;73;CDM;Saudi Arabia;61;240000;3000;Right;;;
M. Hazazi;Majed Hazazi;3/19/1988;36;167.64;57.2;RB;Saudi Arabia;61;180000;3000;Right;;;
B. Bvuma;Bruce Bvuma;5/15/1995;29;185.42;73;GK;South Africa;61;290000;1000;Right;;;
S. Facey;Shay Facey;1/7/1995;30;152.4;64;RB,RWB;England;61;300000;2000;Right;;;
H. Johansen;Henrik Kjelsrud Johansen;3/22/1993;31;182.88;83.9;ST;Norway;61;325000;1000;Right;;;
B. Chibani;Bilal Chibani;10/15/1998;26;182.88;71.2;CM;Belgium;61;425000;1000;Left;;;
João Virgínia;João Manuel Neves Virgínia;10/10/1999;25;190.5;79.8;GK;Portugal;61;425000;3000;Left;;;
T. _van_ara;Tomá_ _van_ara;8/13/2000;24;190.5;79.8;ST;Czech Republic;61;550000;1000;Right;;;
Iván;Iván Navarro Mateos;4/26/1997;27;182.88;77.1;LM;Spain;61;400000;3000;Left;;;
M. O'Leary;Max O'Leary;10/10/1996;28;185.42;78;GK;England;61;350000;3000;Right;;;
J. Hildebrandt;Jonas Hildebrandt;12/8/1996;28;182.88;76.2;CDM,CM,CF;Germany;61;300000;1000;Right;;;
M. Dimun;Milan Dimun;9/19/1996;28;185.42;76.2;CDM,CM;Slovakia;61;425000;1000;Right;;;
P. Ernesto;Panzu Ernesto;4/3/1999;25;154.94;71.2;CB,RB,CDM;Germany;61;500000;2000;Right;;;
F. Quiroz;Franco Nicolás Quiroz;3/11/1998;26;152.4;74.8;LB;Argentina;61;400000;2000;Left;;;
S. Lebus;Santiago Lebus;6/18/1996;28;154.94;73;RM;Argentina;61;400000;2000;Right;;;
M. Rodas;Manolo Rodas;7/4/1996;28;170.18;64.9;LM,CAM,LB;Germany;61;375000;1000;Left;;;
T. Goppel;Thijmen Goppel;2/16/1997;28;152.4;73;RW;Netherlands;61;400000;1000;Right;;;
N. Bishop;Nathan Bishop;10/15/1999;25;185.42;72.1;GK;England;61;425000;1000;Right;;;
Y. Gutiérrez;Yosgart Ernesto Gutiérrez Serna;3/15/1981;43;187.96;86.2;GK;Mexico;61;20000;1000;Right;;;
Dani Sandoval;Daniel Sandoval Fernández;2/16/1998;27;152.4;71.2;LM,RM;Spain;61;475000;2000;Left;;;
L. Ameka Autchanga;Louis Ameka Autchanga;10/3/1996;28;175.26;68;RM;Gabon;61;400000;1000;Right;;;
Luis Díaz;Luis Díaz Carballido;2/27/1995;30;187.96;78;CM,CDM;Spain;61;350000;2000;Right;;;
Z. Dearnley;Zachary Dearnley;9/28/1998;26;175.26;66.2;RW,LW,ST;England;61;550000;9000;Right;;;
Kim Yong Jin;___ ___;6/10/1993;31;193.04;79.8;ST;Korea Republic;61;350000;2000;Right;;;
Iago Indias;Iago Indias Fernández;1/3/1996;29;152.4;68;CB,CDM;Spain;61;290000;3000;Right;;;
Eric Curbelo;Éric Curbelo de la Fe;1/14/1994;31;172.72;68.9;CB,RB;Spain;61;290000;2000;Left;;;
M. Warcholak;Marcin Warcholak;8/8/1989;35;154.94;78.9;LB;Poland;61;200000;1000;Left;;;
Álvaro Vallés;Álvaro Vallés Rosa;7/25/1997;27;193.04;82.1;GK;Spain;61;280000;1000;Right;;;
Kiki;Juan Antonio Díaz Sanchez;1/6/1997;28;152.4;69.9;LB,CB;Spain;61;325000;1000;Left;;;
T. Bonga;Tarsis Bonga;1/10/1997;28;195.58;88.9;ST,LM,LW,RW;Germany;61;375000;1000;Right;;;
M. Pawelec;Mariusz Pawelec;4/14/1986;38;154.94;72.1;RB;Poland;61;140000;1000;Right;;;
M. Sarkaria;Manprit Sarkaria;8/26/1996;28;152.4;69.9;CAM,RM;Austria;61;375000;2000;Left;;;
A. Samuel;Alex Samuel;9/20/1995;29;152.4;69.9;ST;Wales;61;350000;2000;Right;;;
J. Mäder;Janik Mäder;9/27/1996;28;152.4;69.9;RM,ST;Germany;61;375000;1000;Right;;;
M. Ortega;Miguel René Ortega Rodríguez;4/13/1995;29;193.04;73.9;GK;Mexico;61;300000;5000;Left;;;
D. Turnbull;David Turnbull;7/10/1999;25;185.42;74.8;CAM,CM;Scotland;61;525000;1000;Right;;;
K. Koussou;Kodjovi Koussou;6/22/1992;32;170.18;64;RM,RB;Germany;61;300000;2000;Right;;;
J. Klinsmann;Jonathan Klinsmann;4/8/1997;27;193.04;83.9;GK;United States;61;450000;2000;Right;;;
Álex Mozo;Alejandro Gutiérrez Mozo;4/1/1995;29;165.1;62.1;CM,CAM;Spain;61;375000;4000;Right;;;
J. McCourt;Jak McCourt;7/6/1995;29;152.4;68;CM,CDM;England;61;325000;3000;Right;;;
